provinsi,tahun,pulau,rpp,pl,ik,ia,rpp_norm,pl_norm,ik_norm,ia_norm,ikp,status,has_complete_data
RIAU,2022,Sumatera,0.032286712324625065,4.182964364818142,1.0182456140350877,0.9322,0.055215,0.419964,0.411303,0.894618,0.486812,RENDAH,True
JAMBI,2022,Sumatera,0.07649027292005178,4.587804938883796,1.0528070175438595,0.9238,0.131326,0.545103,0.473155,0.856626,0.53422,SEDANG,True
SUMATERA SELATAN,2022,Sumatera,0.3205578445188864,5.405506622602985,1.116140350877193,0.881,0.551568,0.797861,0.586499,0.663048,0.64475,SEDANG,True
BENGKULU,2022,Sumatera,0.1366972913936217,4.92740198740758,1.0333333333333332,0.8538,0.234992,0.650075,0.438305,0.540027,0.470513,RENDAH,True
LAMPUNG,2022,Sumatera,0.29293635333347867,5.186933540150018,1.0114035087719297,0.8843,0.504008,0.730298,0.399058,0.677974,0.569971,SEDANG,True
KEPULAUAN BANGKA BELITUNG,2022,Sumatera,0.04109799946473973,4.06578522352692,1.133859649122807,0.9555,0.070387,0.383744,0.61821,1.0,0.576289,SEDANG,True
KEPULAUAN RIAU,2022,Sumatera,0.00023254885769336637,2.8243258301760643,1.2335087719298246,0.9376,2.4e-05,0.0,0.796546,0.919041,0.514681,SEDANG,True
JAKARTA,2022,Jawa,0.00021889232209737827,4.8984180199057095,1.2370175438596491,0.9531,0.0,0.641116,0.802826,0.989145,0.665814,SEDANG,True
JAWA BARAT,2022,Jawa,0.19094363596986588,5.674747724975342,1.1366666666666667,0.9194,0.328395,0.881085,0.623234,0.836725,0.679884,SEDANG,True
JAWA TENGAH,2022,Jawa,0.252655660718722,5.5407198737775625,1.04,0.8907,0.434652,0.839656,0.450235,0.70692,0.602008,SEDANG,True
DAERAH ISTIMEWA YOGYAKARTA,2022,Jawa,0.1493127222945852,5.063675342503789,1.144736842105263,0.8866,0.256714,0.692198,0.637677,0.688376,0.587598,SEDANG,True
JAWA TIMUR,2022,Jawa,0.23150706366950183,5.626302544627198,1.0645614035087718,0.8962,0.398238,0.86611,0.494192,0.731796,0.620666,SEDANG,True
BANTEN,2022,Jawa,0.14598290891283056,5.303578090832087,1.17,0.9384,0.25098,0.766354,0.682889,0.922659,0.685131,SEDANG,True
BALI,2022,Bali-Nusa,0.1541531562139023,6.0594537316478485,1.1024561403508772,0.9543,0.265048,1.0,0.562009,0.994573,0.719984,TINGGI,True
NUSA TENGGARA BARAT,2022,Bali-Nusa,0.26544119516962933,5.3794289949442575,1.3471929824561404,0.8632,0.456667,0.7898,1.0,0.582542,0.724056,TINGGI,True
NUSA TENGGARA TIMUR,2022,Bali-Nusa,0.13831108976821616,4.129344544237026,1.007719298245614,0.7995,0.237771,0.40339,0.392465,0.294437,0.334303,RENDAH,True
KALIMANTAN BARAT,2022,Kalimantan,0.13195687010502763,3.0281184336831504,1.0,0.9327,0.22683,0.062994,0.37865,0.896879,0.440623,RENDAH,True
KALIMANTAN TENGAH,2022,Kalimantan,0.12546742183794826,3.1777610433649723,1.1219298245614036,0.9472,0.215656,0.109249,0.59686,0.96246,0.532777,SEDANG,True
KALIMANTAN SELATAN,2022,Kalimantan,0.19593486525908035,3.81286750744769,1.2164912280701754,0.9551,0.336989,0.305565,0.766091,0.998191,0.657795,SEDANG,True
KALIMANTAN TIMUR,2022,Kalimantan,0.06203050417120058,3.685167048612121,1.075263157894737,0.9369000000000001,0.106429,0.266092,0.513344,0.915875,0.50327,SEDANG,True
KALIMANTAN UTARA,2022,Kalimantan,0.04195327012915636,3.5486884878181444,1.1382456140350876,0.9323,0.071859,0.223905,0.62606,0.89507,0.515492,SEDANG,True
SULAWESI UTARA,2022,Sulawesi,0.09164515134423763,4.188125004725446,1.1121052631578947,0.9272,0.15742,0.42156,0.579278,0.872004,0.551181,SEDANG,True
