provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,rpp_ikan_norm,rpp_kebun_norm,npi_norm,kps_norm,ipsda,status,n_komponen,has_complete_data
LAMPUNG,2021,Sumatera,0.015370345700392992,0.02252353515841826,459091.8536157552,0.27879,0.045632,0.053022,0.055142,0.629185,0.195745,RENDAH,4,True
KEPULAUAN BANGKA BELITUNG,2021,Sumatera,0.1682784914474136,0.07345263447138833,5313636.7850518655,0.19178,0.565454,0.177351,0.713077,0.432256,0.472034,KURANG,4,True
KEPULAUAN RIAU,2021,Sumatera,0.14685362782136976,0.002930349704543253,4218460.343407924,0.030353,0.492619,0.005191,0.564648,0.066901,0.28234,RENDAH,4,True
JAKARTA,2021,Jawa,0.01285975326876284,0.0,403944.3103170771,0.000794,0.037097,0.0,0.047668,0.0,0.021191,RENDAH,3,False
JAWA BARAT,2021,Jawa,0.005800717567561969,0.0008040008948879526,146096.90406055408,0.085735,0.013099,0.0,0.012722,0.192246,0.054517,RENDAH,4,True
JAWA TENGAH,2021,Jawa,0.009313287326103625,0.0016550963961003396,136748.23931975025,0.135646,0.02504,0.002078,0.011455,0.305209,0.085946,RENDAH,4,True
DAERAH ISTIMEWA YOGYAKARTA,2021,Jawa,0.0019475563551121652,0.0021056505029029356,52228.284405920356,0.099718,0.0,0.003178,0.0,0.223894,0.056768,RENDAH,4,True
JAWA TIMUR,2021,Jawa,0.013407687559786257,0.004799499332361179,254135.55534516805,0.111118,0.03896,0.009754,0.027364,0.249695,0.081443,RENDAH,4,True
BANTEN,2021,Jawa,0.005916284461468676,0.0009198125094501286,211364.26658602557,0.058963,0.013492,0.000283,0.021568,0.131653,0.041749,RENDAH,4,True
BALI,2021,Bali-Nusa,0.026213461805716404,0.0025594107564738035,606701.6963913466,0.146775,0.082494,0.004285,0.075148,0.330397,0.123081,RENDAH,4,True
NUSA TENGGARA BARAT,2021,Bali-Nusa,0.04521268397210579,0.0028735362117253433,791834.405744253,0.213888,0.147083,0.005052,0.100239,0.482293,0.183667,RENDAH,4,True
NUSA TENGGARA TIMUR,2021,Bali-Nusa,0.03578826798858344,0.002858832807570978,824113.0242601773,0.295953,0.115044,0.005016,0.104613,0.66803,0.223176,RENDAH,4,True
KALIMANTAN BARAT,2021,Kalimantan,0.036106124408983455,0.142578125,1364345.8198507684,0.211011,0.116125,0.346102,0.177831,0.475782,0.27896,RENDAH,4,True
KALIMANTAN TENGAH,2021,Kalimantan,0.056745318352059926,0.410435393258427,1745227.5737827716,0.20442,0.186289,1.0,0.229452,0.460864,0.469151,KURANG,4,True
KALIMANTAN SELATAN,2021,Kalimantan,0.05364959740769835,0.04318354772191673,1642753.958169678,0.11422,0.175765,0.103458,0.215563,0.256716,0.187876,RENDAH,4,True
KALIMANTAN TIMUR,2021,Kalimantan,0.04693069569835369,0.1292651354221986,1510461.6240042485,0.070535,0.152924,0.313602,0.197634,0.157844,0.205501,RENDAH,4,True
KALIMANTAN UTARA,2021,Kalimantan,0.04871330863493873,0.10184525505842121,1299439.6252493588,0.14101,0.158984,0.246664,0.169034,0.317349,0.223008,RENDAH,4,True
SULAWESI UTARA,2021,Sulawesi,0.12863343376940387,0.013349097982379191,3583614.6065830123,0.208968,0.430678,0.030625,0.478607,0.471158,0.352767,KURANG,4,True
SULAWESI TENGAH,2021,Sulawesi,0.05619050808855545,0.03271427136015005,1273652.3411595272,0.158226,0.184403,0.0779,0.165539,0.356314,0.196039,RENDAH,4,True
SULAWESI SELATAN,2021,Sulawesi,0.04603570838155067,0.005175786631399129,1342013.2255469223,0.221296,0.149881,0.010672,0.174804,0.49906,0.208604,RENDAH,4,True
SULAWESI TENGGARA,2021,Sulawesi,0.09697778963008115,0.011329003009638463,2862874.9175206674,0.232768,0.323062,0.025694,0.380926,0.525024,0.313677,KURANG,4,True
GORONTALO,2021,Sulawesi,0.10930698984381668,0.013463343859349663,3024593.0024750363,0.379958,0.364976,0.030904,0.402843,0.858157,0.41422,KURANG,4,True
SULAWESI BARAT,2021,Sulawesi,0.04704763246899662,0.03885111330326945,1430811.2443630213,0.442629,0.153321,0.092881,0.186839,1.0,0.35826,KURANG,4,True
MALUKU,2021,Maluku-Papua,0.29610200659851804,0.009370436475742334,7430688.533722754,0.23394,1.0,0.020913,1.0,0.527677,0.637147,CUKUP,4,True
MALUKU UTARA,2021,Maluku-Papua,0.281784238833892,0.021484527242965158,6353667.782368072,0.14335,0.951326,0.050486,0.854032,0.322645,0.544622,CUKUP,4,True
PAPUA BARAT,2021,Maluku-Papua,0.09060753020015871,0.012631161273256327,3769095.8134203334,0.104583,0.301406,0.028873,0.503746,0.234904,0.267232,RENDAH,4,True
PAPUA,2021,Maluku-Papua,0.05862722773427516,0.02198979947487046,1845441.0161024234,0.103032,0.192687,0.051719,0.243033,0.231394,0.179708,RENDAH,4,True
ACEH,2022,Sumatera,0.0608480008997357,0.028529119571125982,1773144.7813454797,0.307274,0.213913,0.070373,0.244483,0.687159,0.303982,KURANG,4,True
SUMATERA UTARA,2022,Sumatera,0.02448475334825156,0.0470166327109983,806670.0086837447,0.233847,0.08192,0.117324,0.107045,0.522562,0.207213,RENDAH,4,True
SUMATERA BARAT,2022,Sumatera,0.03869705036356815,0.037433226734318335,1112117.8278813,0.210352,0.133508,0.092986,0.150481,0.469895,0.211718,RENDAH,4,True
RIAU,2022,Sumatera,0.021542339333209624,0.18134548772190265,578907.8595286695,0.262977,0.071239,0.458469,0.074655,0.587861,0.298056,RENDAH,4,True
JAMBI,2022,Sumatera,0.01543302476020522,0.10277018737452599,487308.8506580415,0.318156,0.049063,0.258917,0.06163,0.711553,0.270291,RENDAH,4,True
SUMATERA SELATAN,2022,Sumatera,0.017691902767704652,0.07590424163020845,805267.558313642,0.130966,0.057262,0.190688,0.106845,0.29194,0.161684,RENDAH,4,True
BENGKULU,2022,Sumatera,0.04166945483172604,0.09466640425113167,1479746.9799252115,0.282533,0.144298,0.238337,0.20276,0.631699,0.304273,KURANG,4,True
LAMPUNG,2022,Sumatera,0.03804037309061416,0.04394685261118371,1015395.081782544,0.273023,0.131125,0.109528,0.136727,0.610381,0.24694,RENDAH,4,True
KEPULAUAN BANGKA BELITUNG,2022,Sumatera,0.15088123386329663,0.07746466911265118,5581956.663948906,0.19504,0.540723,0.194651,0.78612,0.435571,0.489266,KURANG,4,True
KEPULAUAN RIAU,2022,Sumatera,0.15412699172209196,0.0024761950332551795,4740806.084501651,0.029847,0.552504,0.004208,0.666503,0.065268,0.322121,KURANG,4,True
JAKARTA,2022,Jawa,0.01868812114583137,0.0,602941.6138948083,0.000731,0.060879,0.0,0.078073,0.0,0.034738,RENDAH,3,False
JAWA BARAT,2022,Jawa,0.005695852175268985,0.0008191625563206316,133510.04698515352,0.084432,0.013718,0.0,0.011317,0.187627,0.053165,RENDAH,4,True
JAWA TENGAH,2022,Jawa,0.00938830950447012,0.001753547163763104,139775.4304815667,0.132292,0.027121,0.002373,0.012208,0.294912,0.084154,RENDAH,4,True
DAERAH ISTIMEWA YOGYAKARTA,2022,Jawa,0.0019165898367590434,0.002074407505830034,53927.03942730083,0.102582,0.0,0.003188,0.0,0.228313,0.057875,RENDAH,4,True
JAWA TIMUR,2022,Jawa,0.014559701474300545,0.004765573261715839,287664.6522698559,0.110405,0.045893,0.010022,0.033239,0.24585,0.083751,RENDAH,4,True
BANTEN,2022,Jawa,0.005645845462862846,0.0009128337353405972,191787.72261498793,0.057267,0.013537,0.000238,0.019605,0.126733,0.040028,RENDAH,4,True
BALI,2022,Bali-Nusa,0.022753372933646453,0.0024865312888520514,474626.6807109638,0.137562,0.075635,0.004234,0.059826,0.306726,0.111605,RENDAH,4,True
NUSA TENGGARA BARAT,2022,Bali-Nusa,0.04617537867537867,0.0030001670626670627,802984.927977428,0.222313,0.160654,0.005539,0.106521,0.496707,0.192355,RENDAH,4,True
NUSA TENGGARA TIMUR,2022,Bali-Nusa,0.025779882841465224,0.002664800533886994,605060.1019575857,0.293144,0.086621,0.004687,0.078375,0.655485,0.206292,RENDAH,4,True
KALIMANTAN BARAT,2022,Kalimantan,0.033027563154145435,0.12342685443951266,946661.4747840065,0.208025,0.112929,0.311378,0.126952,0.464678,0.253984,RENDAH,4,True
