kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran
1111,Aceh Utara,ACEH,kab_kota,2031,15.216,9.9722,70.0386,11193.806
1111,Aceh Utara,ACEH,kab_kota,2032,15.292,10.0989,70.147,11423.9403
1111,Aceh Utara,ACEH,kab_kota,2033,15.368,10.2256,70.2554,11654.0747
1111,Aceh Utara,ACEH,kab_kota,2034,15.444,10.3523,70.3637,11884.209
1111,Aceh Utara,ACEH,kab_kota,2035,15.52,10.479,70.4721,12114.3433
1111,Aceh Utara,ACEH,kab_kota,2036,15.596,10.6057,70.5805,12344.4777
1111,Aceh Utara,ACEH,kab_kota,2037,15.672,10.7324,70.6888,12574.612
1111,Aceh Utara,ACEH,kab_kota,2038,15.748,10.859,70.7972,12804.7463
1111,Aceh Utara,ACEH,kab_kota,2039,15.824,10.9857,70.9056,13034.8807
1111,Aceh Utara,ACEH,kab_kota,2040,15.9,11.1124,71.014,13265.015
1111,Aceh Utara,ACEH,kab_kota,2041,15.976,11.2391,71.1223,13495.1493
1111,Aceh Utara,ACEH,kab_kota,2042,16.052,11.3658,71.2307,13725.2837
1111,Aceh Utara,ACEH,kab_kota,2043,16.128,11.4925,71.3391,13955.418
1111,Aceh Utara,ACEH,kab_kota,2044,16.204,11.6192,71.4475,14185.5523
1111,Aceh Utara,ACEH,kab_kota,2045,16.28,11.7459,71.5558,14415.6867
1112,Aceh Barat Daya,ACEH,kab_kota,2025,,,65.8029,
1112,Aceh Barat Daya,ACEH,kab_kota,2026,13.7533,9.2,65.9687,10142.9354
1112,Aceh Barat Daya,ACEH,kab_kota,2027,13.8067,9.3221,66.1346,10363.8708
1112,Aceh Barat Daya,ACEH,kab_kota,2028,13.86,9.4441,66.3004,10584.8062
1112,Aceh Barat Daya,ACEH,kab_kota,2029,13.9133,9.5662,66.4663,10805.7415
1112,Aceh Barat Daya,ACEH,kab_kota,2030,13.9667,9.6882,66.6321,11026.6769
1112,Aceh Barat Daya,ACEH,kab_kota,2031,14.02,9.8103,66.798,11247.6123
1112,Aceh Barat Daya,ACEH,kab_kota,2032,14.0733,9.9324,66.9639,11468.5477
1112,Aceh Barat Daya,ACEH,kab_kota,2033,14.1267,10.0544,67.1297,11689.4831
1112,Aceh Barat Daya,ACEH,kab_kota,2034,14.18,10.1765,67.2956,11910.4185
1112,Aceh Barat Daya,ACEH,kab_kota,2035,14.2333,10.2985,67.4614,12131.3539
1112,Aceh Barat Daya,ACEH,kab_kota,2036,14.2867,10.4206,67.6273,12352.2892
1112,Aceh Barat Daya,ACEH,kab_kota,2037,14.34,10.5426,67.7931,12573.2246
1112,Aceh Barat Daya,ACEH,kab_kota,2038,14.3933,10.6647,67.959,12794.16
1112,Aceh Barat Daya,ACEH,kab_kota,2039,14.4467,10.7868,68.1249,13015.0954
1112,Aceh Barat Daya,ACEH,kab_kota,2040,14.5,10.9088,68.2907,13236.0308
1112,Aceh Barat Daya,ACEH,kab_kota,2041,14.5533,11.0309,68.4566,13456.9662
1112,Aceh Barat Daya,ACEH,kab_kota,2042,14.6067,11.1529,68.6224,13677.9016
1112,Aceh Barat Daya,ACEH,kab_kota,2043,14.66,11.275,68.7883,13898.8369
